x	P	S
4.1625	124577.41516	0.500038598624
4.2375	124048.793855	0.50003817356
4.3125	123531.031997	0.50003773271
4.3875	123023.866409	0.500037277764
4.4625	122527.045949	0.500036810279
4.5375	122040.330653	0.500036331695
4.6125	121563.490956	0.500035843341
4.6875	121096.306974	0.500035346448
4.7625	120638.567844	0.500034842159
4.8375	120190.071109	0.500034331531
4.9125	119750.62216	0.500033815545
4.9875	119320.033712	0.500033295116
5.0625	118898.125327	0.500032771089
5.1375	118484.722966	0.500032244255
5.2125	118079.658575	0.500031715347
5.2875	117682.76971	0.500031185048
5.3625	117293.899176	0.500030653995
5.4375	116912.894702	0.500030122779
5.5125	116539.608636	0.500029591954
5.5875	116173.89766	0.500029062033
5.6625	115815.622529	0.500028533497
5.7375	115464.647826	0.50002800679
5.8125	115120.841734	0.500027482329
5.8875	114784.075826	0.500026960501
5.9625	114454.224868	0.500026441665
6.0375	114131.166636	0.500025926157
6.1125	113814.781746	0.500025414288
6.1875	113504.953499	0.500024906345
6.2625	113201.567729	0.500024402597
6.3375	112904.512672	0.500023903291
6.4125	112613.678834	0.500023408656
6.4875	112328.958877	0.500022918904
6.5625	112050.247508	0.500022434229
6.6375	111777.441377	0.500021954809
6.7125	111510.438982	0.500021480809
6.7875	111249.140584	0.500021012378
6.8625	110993.448123	0.500020549652
6.9375	110743.265144	0.500020092754
7.0125	110498.496727	0.500019641795
7.0875	110259.049423	0.500019196876
7.1625	110024.831193	0.500018758084
7.2375	109795.751355	0.500018325498
7.3125	109571.720531	0.500017899186
7.3875	109352.650601	0.500017479208
7.4625	109138.454659	0.500017065612
7.5375	108929.046977	0.500016658442
7.6125	108724.342961	0.500016257729
7.6875	108524.259124	0.500015863501
7.7625	108328.713054	0.500015475774
7.8375	108137.623381	0.500015094562
7.9125	107950.909757	0.500014719868
7.9875	107768.492829	0.500014351691
8.0625	107590.294221	0.500013990023
8.1375	107416.236506	0.500013634852
8.2125	107246.2432	0.50001328616
8.2875	107080.238735	0.500012943922
8.3625	106918.148451	0.500012608111
8.4375	106759.898577	0.500012278694
8.5125	106605.416225	0.500011955632
8.5875	106454.629375	0.500011638886
8.6625	106307.466863	0.500011328411
8.7375	106163.858378	0.500011024156
8.8125	106023.734449	0.500010726071
8.8875	105887.026436	0.5000104341
8.9625	105753.66653	0.500010148185
9.0375	105623.58774	0.500009868265
9.1125	105496.72389	0.500009594276
9.1875	105373.009616	0.500009326152
9.2625	105252.380355	0.500009063825
9.3375	105134.772348	0.500008807223
9.4125	105020.122629	0.500008556275
9.4875	104908.369027	0.500008310907
9.5625	104799.450157	0.500008071042
9.6375	104693.30542	0.500007836604
9.7125	104589.874999	0.500007607512
9.7875	104489.099853	0.500007383688
9.8625	104390.921717	0.500007165051
9.9375	104295.283096	0.500006951518
10.0125	104202.127264	0.500006743005
10.0875	104111.398257	0.500006539431
10.1625	104023.040874	0.500006340709
10.2375	103937.000669	0.500006146756
10.3125	103853.223951	0.500005957485
10.3875	103771.657776	0.500005772811
10.4625	103692.249947	0.500005592647
10.5375	103614.949007	0.500005416908
10.6125	103539.704238	0.500005245507
10.6875	103466.465649	0.500005078358
10.7625	103395.183982	0.500004915374
10.8375	103325.810697	0.500004756468
10.9125	103258.297972	0.500004601555
10.9875	103192.598699	0.500004450548
11.0625	103128.666472	0.500004303363
11.1375	103066.455589	0.500004159912
11.2125	103005.921039	0.500004020112
11.2875	102947.0185	0.500003883878
11.3625	102889.704331	0.500003751125
11.4375	102833.935565	0.50000362177
11.5125	102779.669903	0.500003495729
11.5875	102726.865707	0.500003372921
11.6625	102675.481989	0.500003253264
11.7375	102625.478408	0.500003136675
11.8125	102576.815261	0.500003023075
11.8875	102529.453472	0.500002912383
11.9625	102483.354589	0.500002804521
12.0375	102438.48077	0.500002699409
12.1125	102394.794778	0.50000259697
12.1875	102352.259971	0.500002497127
12.2625	102310.840294	0.500002399804
12.3375	102270.500267	0.500002304925
12.4125	102231.204981	0.500002212416
12.4875	102192.920082	0.500002122203
12.5625	102155.611768	0.500002034212
12.6375	102119.246773	0.500001948372
12.7125	102083.792363	0.50000186461
12.7875	102049.216321	0.500001782857
12.8625	102015.486941	0.500001703043
12.9375	101982.573016	0.500001625098
13.0125	101950.443827	0.500001548955
13.0875	101919.069133	0.500001474546
13.1625	101888.419163	0.500001401803
13.2375	101858.464602	0.500001330663
